Date,ResolvedOn,IC,RankPersistence,Year
2024-01-05,2024-01-12,0.3450500556173526,,2024
2024-01-12,2024-01-19,0.6582869855394883,0.9661846496106785,2024
2024-01-19,2024-01-26,0.35572858731924356,0.9755283648498332,2024
2024-01-26,2024-02-02,0.18264738598442715,0.9893214682981089,2024
2024-02-02,2024-02-09,0.1599555061179088,0.9817575083426029,2024
2024-02-09,2024-02-16,-0.09499443826473859,0.9586206896551723,2024
2024-02-16,2024-02-23,0.2507230255839822,0.9439377085650723,2024
2024-02-23,2024-03-01,-0.0771968854282536,0.9159065628476083,2024
2024-03-01,2024-03-08,0.2520578420467186,0.9016685205784205,2024
2024-03-08,2024-03-15,0.007341490545050056,0.9652947719688543,2024
2024-03-15,2024-03-22,-0.0731924360400445,0.9439377085650723,2024
2024-03-22,2024-03-28,-0.4166852057842047,0.9670745272525029,2024
2024-03-28,2024-04-05,0.6707452725250278,0.9559510567296997,2024
2024-04-05,2024-04-12,0.06963292547274749,0.9590656284760846,2024
2024-04-12,2024-04-19,-0.04827586206896552,0.9332591768631814,2024
2024-04-19,2024-04-26,0.06785317018909899,0.8558398220244716,2024
2024-04-26,2024-05-03,-0.40867630700778645,0.946162402669633,2024
2024-05-03,2024-05-10,0.521245828698554,0.9368186874304782,2024
2024-05-10,2024-05-17,-0.03270300333704116,0.9030033370411568,2024
2024-05-17,2024-05-24,0.35706340378198,0.9599555061179088,2024
2024-05-24,2024-05-31,-0.14527252502780869,0.9474972191323694,2024
2024-05-31,2024-06-07,0.4162402669632926,0.971523915461624,2024
2024-06-07,2024-06-14,0.6186874304783093,0.9684093437152391,2024
2024-06-14,2024-06-21,0.0771968854282536,0.9790878754171303,2024
2024-06-21,2024-06-28,0.19733036707452725,0.971523915461624,2024
2024-06-28,2024-07-05,0.2164627363737486,0.9568409343715237,2024
2024-07-05,2024-07-12,-0.5167964404894326,0.9795328142380423,2024
2024-07-12,2024-07-19,0.06740823136818688,0.957730812013348,2024
2024-07-19,2024-07-26,-0.4451612903225806,0.957285873192436,2024
2024-07-26,2024-08-02,0.2978865406006674,0.971078976640712,2024
2024-08-02,2024-08-09,0.2600667408231368,0.9296996662958843,2024
2024-08-09,2024-08-16,-0.1385984427141268,0.9430478309232482,2024
2024-08-16,2024-08-23,-0.05094549499443826,0.9746384872080088,2024
2024-08-23,2024-08-30,0.28142380422691876,0.9733036707452726,2024
2024-08-30,2024-09-06,-0.10389321468298107,0.9581757508342603,2024
2024-09-06,2024-09-13,-0.3196885428253615,0.9176863181312569,2024
2024-09-13,2024-09-20,0.12480533926585094,0.8914349276974416,2024
2024-09-20,2024-09-27,-0.4206896551724138,0.9412680756395997,2024
2024-09-27,2024-10-04,0.2146829810901001,0.9421579532814239,2024
2024-10-04,2024-10-11,0.2307007786429366,0.868298109010011,2024
2024-10-11,2024-10-18,-0.4353726362625139,0.9265850945494994,2024
2024-10-18,2024-10-25,0.17374860956618463,0.9265850945494994,2024
2024-10-25,2024-11-01,-0.5510567296996662,0.9003337041156841,2024
2024-11-01,2024-11-08,0.5399332591768632,0.9056729699666296,2024
2024-11-08,2024-11-15,0.01757508342602892,0.8949944382647386,2024
2024-11-15,2024-11-22,-0.2921023359288098,0.8852057842046718,2024
2024-11-22,2024-11-29,-0.36106785317018913,0.9114571746384873,2024
2024-11-29,2024-12-06,0.25339265850945497,0.9790878754171303,2024
2024-12-06,2024-12-13,0.07363737486095662,0.9025583982202448,2024
2024-12-13,2024-12-20,-0.02736373748609566,0.9532814238042269,2024
2024-12-20,2024-12-27,0.07541713014460512,0.9003337041156841,2024
2024-12-27,2025-01-03,-0.2863181312569522,0.9755283648498332,2024
2025-01-03,2025-01-10,-0.11768631813125695,0.978642936596218,2025
2025-01-10,2025-01-17,0.14927697441601778,0.9599555061179088,2025
2025-01-17,2025-01-24,0.06651835372636263,0.9412680756395997,2025
2025-01-24,2025-01-31,-0.016240266963292546,0.9595105672969966,2025
2025-01-31,2025-02-07,0.5581757508342603,0.9199110122358174,2025
2025-02-07,2025-02-14,0.38020022246941043,0.9497219132369298,2025
2025-02-14,2025-02-21,-0.26140155728587317,0.9515016685205783,2025
2025-02-21,2025-02-28,0.06607341490545049,0.9208008898776417,2025
2025-02-28,2025-03-07,-0.27786429365962184,0.9537263626251389,2025
2025-03-07,2025-03-14,0.16974416017797553,0.957285873192436,2025
2025-03-14,2025-03-21,0.05583982202447163,0.9363737486095662,2025
2025-03-21,2025-03-28,0.20934371523915463,0.9559510567296997,2025
2025-03-28,2025-04-04,-0.12169076751946609,0.9479421579532814,2025
2025-04-04,2025-04-11,0.3450500556173526,0.9595105672969966,2025
2025-04-11,2025-04-17,-0.19332591768631813,0.9377085650723025,2025
2025-04-17,2025-04-25,0.028253615127919914,0.8852057842046718,2025
2025-04-25,2025-05-02,0.4264738598442714,0.9341490545050056,2025
2025-05-02,2025-05-09,-0.034482758620689655,0.892769744160178,2025
2025-05-09,2025-05-16,0.053170189098998885,0.8780867630700778,2025
2025-05-16,2025-05-23,0.00689655172413793,0.9301446051167965,2025
2025-05-23,2025-05-30,0.15016685205784203,0.9488320355951056,2025
2025-05-30,2025-06-06,0.06295884315906564,0.9759733036707454,2025
2025-06-06,2025-06-13,-0.019799777530589546,0.9537263626251389,2025
2025-06-13,2025-06-20,0.026028921023359287,0.9381535038932147,2025
2025-06-20,2025-06-27,0.1096774193548387,0.9546162402669631,2025
2025-06-27,2025-07-03,-0.21201334816462733,0.9270300333704115,2025
2025-07-03,2025-07-11,-0.014015572858731925,0.9550611790878754,2025
2025-07-11,2025-07-18,0.19154616240266964,0.892769744160178,2025
2025-07-18,2025-07-25,0.014905450500556172,0.946162402669633,2025
2025-07-25,2025-08-01,0.3210233592880979,0.9243604004449388,2025
2025-08-01,2025-08-08,-0.035817575083426034,0.8958843159065628,2025
2025-08-08,2025-08-15,-0.6809788654060066,0.8985539488320357,2025
2025-08-15,2025-08-22,-0.36774193548387096,0.8860956618464961,2025
2025-08-22,2025-08-29,-0.11234705228031144,0.9430478309232482,2025
2025-08-29,2025-09-05,-0.1764182424916574,0.8740823136818686,2025
2025-09-05,2025-09-12,-0.06607341490545049,0.9684093437152391,2025
2025-09-12,2025-09-19,-0.10211345939933258,0.8340378197997775,2025
2025-09-19,2025-09-26,-0.07007786429365963,0.7490545050055617,2025
2025-09-26,2025-10-03,-0.1003337041156841,0.9119021134593993,2025
2025-10-03,2025-10-10,-0.04204671857619577,0.9181312569521689,2025
2025-10-10,2025-10-17,0.09232480533926585,0.9337041156840934,2025
2025-10-17,2025-10-24,-0.0037819799777530586,0.9626251390433814,2025
2025-10-24,2025-10-31,0.053170189098998885,0.9377085650723025,2025
2025-10-31,2025-11-07,-0.08743047830923248,0.7757508342602891,2025
2025-11-07,2025-11-14,0.3352614015572859,0.9078976640711901,2025
2025-11-14,2025-11-21,0.06651835372636263,0.9617352614015572,2025
2025-11-21,2025-11-28,-0.02202447163515017,0.9528364849833146,2025
2025-11-28,2025-12-05,-0.3045606229143492,0.9741935483870968,2025
2025-12-05,2025-12-12,-0.2200222469410456,0.9283648498331479,2025
2025-12-12,2025-12-19,0.3539488320355951,0.9550611790878754,2025
2025-12-19,2025-12-26,0.2511679644048943,0.9127919911012237,2025
2025-12-26,2026-01-02,-0.3196885428253615,0.9515016685205783,2025
2026-01-02,2026-01-09,0.13014460511679646,0.9497219132369298,2026
2026-01-09,2026-01-16,0.23515016685205786,0.9448275862068966,2026
2026-01-16,2026-01-23,-0.20800889877641823,0.9341490545050056,2026
2026-01-23,2026-01-30,0.3810901001112347,0.9368186874304782,2026
2026-01-30,2026-02-06,0.06206896551724137,0.8976640711902113,2026
2026-02-06,2026-02-13,-0.11991101223581756,0.8211345939933259,2026
2026-02-13,2026-02-20,0.10611790878754171,0.9684093437152391,2026
2026-02-20,2026-02-27,-0.2987764182424916,0.9510567296996663,2026
2026-02-27,2026-03-06,-0.15773081201334815,0.8585094549499442,2026
2026-03-06,2026-03-13,-0.07942157953281423,0.8803114571746384,2026
2026-03-13,2026-03-20,0.033592880978865404,0.9648498331479423,2026
2026-03-20,2026-03-27,-0.3423804226918799,0.9292547274749722,2026
2026-03-27,2026-04-02,-0.060734149054505006,0.9261401557285873,2026
